fips,state_abbr,county_name,ahrf_pop_est_2020,ahrf_pop_den_2010,ahrf_phys_pricare,ahrf_phys_total,ahrf_hosp_total,ahrf_hosp_cah,ahrf_hosp_with_ed,ahrf_hosp_with_offcampus_ed,ahrf_hosp_with_pedsed,ahrf_hosp_with_traumactr,ahrf_ed_visits,ahrf_ed_visits_per_capita,ahrf_phys_pricare_per_2000,chr_healthoutcomes_rank,chr_healthoutcomes_quartile,chr_healthfactors_rank,chr_healthfactors_quartile,chr_lengthoflife_rank,chr_lengthoflife_quartile,chr_qualityoflife_rank,chr_qualityoflife_quartile,chr_healthbehaviors_rank,chr_healthbehaviors_quartile,chr_clinicalcare_rank,chr_clinicalcare_quartile,chr_sesfactors_rank,chr_sesfactors_quartile,chr_physenv_rank,chr_physenv_quartile,svi_perc,svi_ses_perc,svi_hcd_perc,svi_msl_perc,svi_htt_perc,syn_provider_count,comm_health_needs_score
13077,GA,Coweta County,150849.0,288.8,71.0,209.0,2.0,0.0,0.0,0.0,0.0,0.0,26172.0,0.17,0.94,11.0,1.0,13.0,1.0,11.0,1.0,14.0,1.0,17.0,1.0,25.0,1.0,19.0,1.0,85.0,3.0,0.2427,0.2656,0.2502,0.758,0.1219,18.0,-5.43
13079,GA,Crawford County,12231.0,38.9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,98.0,3.0,80.0,2.0,105.0,3.0,95.0,3.0,90.0,3.0,108.0,3.0,55.0,2.0,133.0,4.0,0.6815,0.8796,0.4473,0.3056,0.5431,2.0,0.55
13081,GA,Crisp County,22034.0,86.0,15.0,32.0,1.0,0.0,1.0,0.0,0.0,1.0,23272.0,1.06,1.36,155.0,4.0,146.0,4.0,152.0,4.0,155.0,4.0,135.0,4.0,107.0,3.0,153.0,4.0,50.0,2.0,0.9857,0.9545,0.9729,0.716,0.9475,15.0,4.87
13083,GA,Dade County,16057.0,95.6,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,52.0,2.0,37.0,1.0,55.0,2.0,44.0,2.0,60.0,2.0,64.0,2.0,22.0,1.0,47.0,2.0,0.5156,0.6083,0.1344,0.1897,0.9118,5.0,-3.03
13085,GA,Dawson County,27113.0,105.9,18.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,17.0,1.0,10.0,1.0,46.0,2.0,8.0,1.0,10.0,1.0,33.0,1.0,12.0,1.0,25.0,1.0,0.1038,0.2382,0.1465,0.3419,0.0907,5.0,-6.96
13087,GA,Decatur County,26457.0,46.6,10.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,13958.0,0.53,0.76,118.0,3.0,127.0,4.0,121.0,4.0,119.0,3.0,114.0,3.0,140.0,4.0,106.0,3.0,149.0,4.0,0.9455,0.829,0.9185,0.6125,0.9806,9.0,3.26
13089,GA,DeKalb County,762009.0,2585.7,833.0,4772.0,9.0,0.0,4.0,0.0,0.0,0.0,225276.0,0.3,2.19,14.0,1.0,30.0,1.0,15.0,1.0,21.0,1.0,9.0,1.0,26.0,1.0,77.0,2.0,73.0,2.0,0.6611,0.4889,0.2238,0.9688,0.7208,118.0,-5.15
13091,GA,Dodge County,20452.0,44.0,8.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,11192.0,0.55,0.78,79.0,2.0,93.0,3.0,81.0,3.0,80.0,2.0,115.0,3.0,87.0,3.0,96.0,3.0,43.0,2.0,0.9223,0.8885,0.6714,0.6291,0.9602,9.0,1.6
13093,GA,Dooly County,13174.0,38.1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,136.0,4.0,144.0,4.0,123.0,4.0,143.0,4.0,134.0,4.0,148.0,4.0,139.0,4.0,35.0,1.0,0.9484,0.9701,0.5677,0.872,0.8727,4.0,3.83
13095,GA,Dougherty County,86477.0,287.7,71.0,235.0,1.0,0.0,1.0,0.0,0.0,0.0,77078.0,0.89,1.64,150.0,4.0,120.0,4.0,149.0,4.0,147.0,4.0,106.0,3.0,38.0,1.0,150.0,4.0,87.0,3.0,0.9513,0.9427,0.8271,0.7096,0.9204,28.0,3.19
